SubjectID,Session,Helicopters,Language,Label,Accuracy,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,SCR_Amplitude,SCR_RiseTime,SCR_RecoveryTime,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
1,1,one,greek,p1,1,7,0.003737537,0.003737537,0.39047619,0.419047619,85.01928678,705.7222222,47.98819942,34.6832901,48.17053041,0.542857143,0.257142857,45,34.05825741,57.03766747,6102.869076,0.597118692,0.157536135
1,1,one,greek,p2,8,7,0.002192163,0.002192163,0.771428571,1.666666667,88.7622596,675.962963,56.48072859,29.43157488,43.9795407,0.6,0.22,39.5,30.90302251,73.3460292,7120.777863,0.421331909,0.133333333
1,2,one,english,p1,2,7,0.011740046,0.011740046,0.904761905,0.866666667,72.31347049,829.7209302,37.66827397,19.12995597,35.9222043,0.642857143,0.238095238,33,25.3368743,45.9094575,3654.307342,0.551887905,0.2
1,2,one,english,p2,-2,7,0.011726431,0.011726431,0.933333333,1.19047619,74.5447446,804.8857143,91.3957709,27.42988861,50.83045636,0.794117647,0.323529412,70,35.77436136,124.4790893,13990.0145,0.287392538,0.142055544
1,3,two,greek,p1,-4,7,0.034228717,0.034228717,1.20952381,0.980952381,70.91732878,846.0555556,104.2941738,55.3820067,89.25898648,0.833333333,0.583333333,40,62.96482704,35.35632114,6993.828159,1.780864779,0.131397411
1,3,two,greek,p2,4,7,0.021374998,0.021374998,0.828571429,0.8,68.85245902,871.4285714,118.6839827,44.85795167,77.64908855,0.80952381,0.523809524,44.5,54.65758179,76.33198169,13107.10636,0.716050869,0.163988193
1,4,two,english,p1,2,3,0.236749847,0.236749847,2.244444444,3.266666667,85.50662676,701.7,47.87807431,16.96812187,34.39923971,0.692307692,0.076923077,23,22.85599374,59.07567106,4241.8826,0.38689351,0.427807487
1,4,two,english,p2,8,6,0.19433393,0.19433393,1.611111111,0.85,77.82353513,770.975,66.01192601,39.63099179,68.51152145,0.8,0.457142857,38.5,48.24801571,79.01274503,11976.40516,0.610635863,0.3
2,1,one,greek,p1,-2,7,0.007030854,0.007030854,0.714285714,0.388888889,66.13652468,907.2142857,59.21652589,21.2,32.93144394,0.56,0.12,25.5,23.22818977,34.81935094,2540.890266,0.667105766,0.236322817
2,1,one,greek,p2,-7,3,0.002127972,0.002127972,0.711111111,0.4,62.06361521,966.75,47.59923844,38.15826162,63.17401777,0.782608696,0.434782609,28,44.66125389,52.08539593,7307.969977,0.857462118,0.172473267
2,2,one,english,p1,-6,2,0.037521753,0.037521753,1.966666667,1.466666667,77.97270955,769.5,66.5,--,,,,66.5,,,,,
2,2,one,english,p2,-1,4,0.009865539,0.009865539,0.666666667,0.483333333,94.82418017,632.75,167.704912,0,95,1,1,89,0,0,0,,0.197667523
2,3,two,greek,p1,-3,3,0.028468004,0.028468004,1.444444444,1.088888889,67.17810491,893.1481481,27.70306,15.05006438,27.71211898,0.5,0.076923077,26,19.59389849,33.45982533,2059.654599,0.585594763,0.165975104
2,3,two,greek,p2,3,7,0.034408718,0.034408718,1.076190476,1.146666667,68.00482615,882.2903226,53.28571409,25.96079756,43.60578271,0.678571429,0.214285714,27,30.83368611,43.56372151,4219.88186,0.707783565,0.256044479
2,4,two,english,p1,-9,2,0.004240044,0.004240044,1.066666667,3.2,61.13256113,981.4736842,33.23816516,14.2126704,23.19722206,0.444444444,0,26,16.40291302,45.11282153,2324.721034,0.363597586,0.214603788
2,4,two,english,p2,12,4,0.011872478,0.011872478,1.4,4.933333333,64.61538462,928.5714286,23.96340748,18.40198241,30.70949643,0.56097561,0.097560976,12,21.70872837,25.771487,1757.614938,0.842354513,0.266666667
